status,source_file,page,source_index,source_index_text,word_text,confidence,reasons,evidence_image,table_index,row_index,pair_index
ACCEPT,app\assets\words\pdf\_บัญชีคำพื้นฐาน ป๖ (สมบูรณ์).pdf,10,1,๑,กะพริบ,94.16666666666667,,,0,1,0
ACCEPT,app\assets\words\pdf\_บัญชีคำพื้นฐาน ป๖ (สมบูรณ์).pdf,10,5,๕,ขยิบตา,93.5,,,0,1,2
ACCEPT,app\assets\words\pdf\_บัญชีคำพื้นฐาน ป๖ (สมบูรณ์).pdf,10,3,๓,พระสนับเพลา,94.1,,,0,1,4
ACCEPT,app\assets\words\pdf\_บัญชีคำพื้นฐาน ป๖ (สมบูรณ์).pdf,10,10,๑ ๐,อับเฉา,93.6,,,0,1,6
ACCEPT,app\assets\words\pdf\_บัญชีคำพื้นฐาน ป๖ (สมบูรณ์).pdf,10,2,๒,กุหลาบ,94.0,,,0,2,0
ACCEPT,app\assets\words\pdf\_บัญชีคำพื้นฐาน ป๖ (สมบูรณ์).pdf,10,5,๕,ประทับ,93.66666666666667,,,0,2,2
ACCEPT,app\assets\words\pdf\_บัญชีคำพื้นฐาน ป๖ (สมบูรณ์).pdf,10,5,๕,พลับพลา,94.14285714285714,,,0,2,4
REVIEW,app\assets\words\pdf\_บัญชีคำพื้นฐาน ป๖ (สมบูรณ์).pdf,10,6,6,ขยับ,96.0,source_index_needs_review,F:\programming\python\MTChooseWords\app\doc\evidence\pdf_ocr_cells\_บัญชีคำพื้นฐาน ป๖ (สมบูรณ์)\page-010\cell-008.png,0,3,0
REVIEW,app\assets\words\pdf\_บัญชีคำพื้นฐาน ป๖ (สมบูรณ์).pdf,10,2,๒ อ,ผอบ (ผะ-อบ),92.9,source_index_needs_review;source_index_missing_or_unreadable,F:\programming\python\MTChooseWords\app\doc\evidence\pdf_ocr_cells\_บัญชีคำพื้นฐาน ป๖ (สมบูรณ์)\page-010\cell-009.png,0,3,2
REVIEW,app\assets\words\pdf\_บัญชีคำพื้นฐาน ป๖ (สมบูรณ์).pdf,10,,ร,สงบ,95.33333333333333,source_index_needs_review;source_index_missing_or_unreadable,F:\programming\python\MTChooseWords\app\doc\evidence\pdf_ocr_cells\_บัญชีคำพื้นฐาน ป๖ (สมบูรณ์)\page-010\cell-010.png,0,3,4
REVIEW,app\assets\words\pdf\_บัญชีคำพื้นฐาน ป๖ (สมบูรณ์).pdf,10,1,๑,ขนัด,87.0,low_ocr_confidence,F:\programming\python\MTChooseWords\app\doc\evidence\pdf_ocr_cells\_บัญชีคำพื้นฐาน ป๖ (สมบูรณ์)\page-010\cell-011.png,1,2,0
ACCEPT,app\assets\words\pdf\_บัญชีคำพื้นฐาน ป๖ (สมบูรณ์).pdf,10,2,๒,ตวาด,94.5,,,1,2,2
REVIEW,app\assets\words\pdf\_บัญชีคำพื้นฐาน ป๖ (สมบูรณ์).pdf,10,6,6,ทรหด,96.0,source_index_needs_review,F:\programming\python\MTChooseWords\app\doc\evidence\pdf_ocr_cells\_บัญชีคำพื้นฐาน ป๖ (สมบูรณ์)\page-010\cell-013.png,1,2,4
ACCEPT,app\assets\words\pdf\_บัญชีคำพื้นฐาน ป๖ (สมบูรณ์).pdf,10,5,๕,พีระมิด,92.42857142857143,,,1,2,6
ACCEPT,app\assets\words\pdf\_บัญชีคำพื้นฐาน ป๖ (สมบูรณ์).pdf,10,5,๕,หงุดหงิด,94.875,,,1,4,0
REVIEW,app\assets\words\pdf\_บัญชีคำพื้นฐาน ป๕ฉบับสมบูรณ์CMYK.pdf,10,,,,0,page_timeout_review,,,,
REVIEW,app\assets\words\pdf\_บัญชีคำพื้นฐาน ป๓ ฉบับสมบูรณ์.pdf,10,,,,0,page_timeout_review,,,,
REVIEW,app\assets\words\pdf\_ บัญชีคำพื้นฐาน ป.๒ (ฉบับสมบูรณ์).pdf,10,,,,0,page_timeout_review,,,,
